DailySLPGrindDateAdded,DailySLPGrindDateLastModified,DailySLPGrindAmount,AxieTeamID
2021-09-05 00:00:00,2021-09-05 00:00:00,150,5
2021-09-06 00:00:00,2021-09-06 00:00:00,168,5
2021-09-07 00:00:00,2021-09-07 00:00:00,264,5
2021-09-08 00:00:00,2021-09-08 00:00:00,273,5
2021-09-09 00:00:00,2021-09-09 00:00:00,201,5
2021-09-10 00:00:00,2021-09-10 00:00:00,348,5
2021-09-11 00:00:00,2021-09-11 00:00:00,294,5
2021-09-12 00:00:00,2021-09-12 00:00:00,291,5
2021-09-13 00:00:00,2021-09-13 00:00:00,319,5
2021-09-14 00:00:00,2021-09-14 00:00:00,306,5
2021-09-15 00:00:00,2021-09-15 00:00:00,286,5
2021-09-16 00:00:00,2021-09-16 00:00:00,285,5
2021-09-17 00:00:00,2021-09-17 00:00:00,326,5
2021-09-18 00:00:00,2021-09-18 00:00:00,305,5
2021-09-19 00:00:00,2021-09-19 00:00:00,231,5
2021-09-20 00:00:00,2021-09-20 00:00:00,285,5
2021-09-21 00:00:00,2021-09-21 00:00:00,183,5
